rPRS_gamma_05,ePRS_gamma_05,rPRS_gamma_1,ePRS_gamma_1,rPRS_gamma_15,ePRS_gamma_15
1.507906733,-30.53904511,1.654662676,-54.50571724,0.436619234,-81.75013067
1.945916331,28.93939835,1.611341389,62.11423603,1.731297597,93.18592003
1.314094211,-33.76701564,1.874639042,-64.81826255,1.251687767,-96.3424124
1.37173984,30.82858211,1.438118335,67.17342757,0.35202356,103.9946853
1.274284111,-40.47224049,0.363336811,-80.02037974,0.809190955,-122.3680054
1.420510425,-31.58398958,1.739140648,-68.46651751,2.08930331,-107.5884515
0.641759364,-37.06176334,0.873198338,-73.32052665,0.377679068,-99.48200366
1.779583134,-32.3835649,2.38328941,-70.55216934,2.387751632,-104.1185119
1.953969597,41.33545694,2.311314657,79.51300923,1.351068503,118.4214104
1.954097181,-42.26723926,1.537813919,-80.4502733,1.220983784,-128.1065294
1.704017432,-27.22431271,1.80725656,-60.30424315,1.764511619,-87.01836414
1.933315803,-38.96297951,1.136072824,-80.69272624,0.574733677,-121.7049429
2.078186288,35.85648415,1.60551291,71.50250292,2.715626984,104.3938157
1.577909382,36.04832821,0.641949328,67.32402553,1.241809646,101.4947928
1.393260249,-32.89964816,1.922727132,-65.05344548,1.604007525,-95.90409171
1.681969767,-28.75311242,1.72459023,-58.05542991,2.880616735,-96.2684632
1.665973208,-35.10319587,1.670150141,-72.08515999,1.053382381,-108.410557
1.868621014,-44.26420884,2.006210669,-88.85252289,2.441143828,-135.678573
1.711286143,-30.23529101,2.048721476,-62.71511186,1.277423233,-89.84706252
1.9501441,43.87928985,2.206829177,77.5721566,2.629285483,118.7444942
2.116843023,-39.6352242,1.517972118,-77.55204168,1.610875676,-119.8590583
2.249625297,36.52659344,2.966743508,66.06075356,2.61374531,105.5125001
1.142224698,-38.08273547,1.601714417,-75.3247177,2.154376376,-113.5641318
1.626689625,-37.8253216,1.244291019,-82.86892717,0.855034839,-121.5450891
1.215085353,-32.64029183,1.594459107,-68.91433474,1.034231858,-107.5111735
1.384279955,-37.15504455,2.128887199,-74.04160664,1.190197943,-112.0170975
1.503501298,-28.60514282,1.11823919,-61.02263671,1.091449432,-92.65003541
1.284374859,-35.30768714,1.53095958,-71.95352458,1.39261731,-101.8511748
2.384660562,-28.34831397,1.118445215,-60.59625393,1.36455958,-91.14609308
